lvl3,Feature,Importance
0.0,Feature_dummy_1,0.0
0.0,Feature_dummy_2,0.01
0.0,Feature_dummy_3,0.0
0.0,Feature_dummy_4,0.04
0.0,Feature_dummy_5,0.0
0.0,Feature_dummy_6,0.0
0.0,Feature_dummy_7,0.0
0.0,Feature_dummy_8,0.01
0.0,Feature_dummy_9,0.01
0.0,Feature_dummy_10,0.0
0.0,Feature_dummy_11,0.01
0.0,Feature_dummy_12,0.0
0.0,Feature_dummy_13,0.0
0.0,Feature_dummy_14,0.0
0.0,Feature_dummy_15,0.0
0.0,Feature_dummy_16,0.0
0.0,Feature_dummy_17,0.0
0.0,Feature_dummy_18,0.0
0.0,Feature_dummy_19,0.0
0.0,Feature_dummy_20,0.22
0.0,Feature_dummy_21,0.16
0.0,Feature_dummy_22,0.11
0.0,Feature_dummy_23,0.2
0.0,Feature_dummy_24,0.24
0.0,Feature_dummy_25,0.25
0.0,Feature_dummy_26,0.0
0.92,Feature_dummy_1,0.0
0.92,Feature_dummy_2,0.01
0.92,Feature_dummy_3,0.55
0.92,Feature_dummy_4,0.02
0.92,Feature_dummy_5,0.0
0.92,Feature_dummy_6,0.0
0.92,Feature_dummy_7,0.0
0.92,Feature_dummy_8,0.0
0.92,Feature_dummy_9,0.12
0.92,Feature_dummy_10,0.05
0.92,Feature_dummy_11,0.0
0.92,Feature_dummy_12,0.0
0.92,Feature_dummy_13,0.0
0.92,Feature_dummy_14,0.02
0.92,Feature_dummy_15,0.0
0.92,Feature_dummy_16,0.0
0.92,Feature_dummy_17,0.17
0.92,Feature_dummy_18,0.01
0.92,Feature_dummy_19,0.12
0.92,Feature_dummy_20,0.11
0.92,Feature_dummy_21,0.0
0.92,Feature_dummy_22,0.0
0.92,Feature_dummy_23,0.01
0.92,Feature_dummy_24,0.04
0.92,Feature_dummy_25,0.02
0.92,Feature_dummy_26,0.0
1.85,Feature_dummy_1,0.02
1.85,Feature_dummy_2,0.03
1.85,Feature_dummy_3,0.02
1.85,Feature_dummy_4,0.08
1.85,Feature_dummy_5,0.0
1.85,Feature_dummy_6,0.0
1.85,Feature_dummy_7,0.0
1.85,Feature_dummy_8,0.03
1.85,Feature_dummy_9,0.05
1.85,Feature_dummy_10,0.04
1.85,Feature_dummy_11,0.04
1.85,Feature_dummy_12,0.01
1.85,Feature_dummy_13,0.01
1.85,Feature_dummy_14,0.01
1.85,Feature_dummy_15,0.01
1.85,Feature_dummy_16,0.04
1.85,Feature_dummy_17,0.04
1.85,Feature_dummy_18,0.02
1.85,Feature_dummy_19,0.04
1.85,Feature_dummy_20,0.11
1.85,Feature_dummy_21,0.03
1.85,Feature_dummy_22,0.04
1.85,Feature_dummy_23,0.2
1.85,Feature_dummy_24,0.22
1.85,Feature_dummy_25,0.16
1.85,Feature_dummy_26,0.0
2.77,Feature_dummy_1,0.0
2.77,Feature_dummy_2,0.01
2.77,Feature_dummy_3,0.02
2.77,Feature_dummy_4,0.22
2.77,Feature_dummy_5,0.0
2.77,Feature_dummy_6,0.0
2.77,Feature_dummy_7,0.0
2.77,Feature_dummy_8,0.03
2.77,Feature_dummy_9,0.04
2.77,Feature_dummy_10,0.04
2.77,Feature_dummy_11,0.03
2.77,Feature_dummy_12,0.0
2.77,Feature_dummy_13,0.0
2.77,Feature_dummy_14,0.0
2.77,Feature_dummy_15,0.0
2.77,Feature_dummy_16,0.01
2.77,Feature_dummy_17,0.01
2.77,Feature_dummy_18,0.01
2.77,Feature_dummy_19,0.01
2.77,Feature_dummy_20,0.12
2.77,Feature_dummy_21,0.11
2.77,Feature_dummy_22,0.09
2.77,Feature_dummy_23,0.16
2.77,Feature_dummy_24,0.19
2.77,Feature_dummy_25,0.17
2.77,Feature_dummy_26,0.0
3.7,Feature_dummy_1,0.0
3.7,Feature_dummy_2,0.0
3.7,Feature_dummy_3,0.05
3.7,Feature_dummy_4,0.55
3.7,Feature_dummy_5,0.0
3.7,Feature_dummy_6,0.0
3.7,Feature_dummy_7,0.0
3.7,Feature_dummy_8,0.02
3.7,Feature_dummy_9,0.01
3.7,Feature_dummy_10,0.05
3.7,Feature_dummy_11,0.01
3.7,Feature_dummy_12,0.02
3.7,Feature_dummy_13,0.0
3.7,Feature_dummy_14,0.25
3.7,Feature_dummy_15,0.0
3.7,Feature_dummy_16,0.0
3.7,Feature_dummy_17,0.0
3.7,Feature_dummy_18,0.0
3.7,Feature_dummy_19,0.0
3.7,Feature_dummy_20,0.14
3.7,Feature_dummy_21,0.03
3.7,Feature_dummy_22,0.11
3.7,Feature_dummy_23,0.01
3.7,Feature_dummy_24,0.01
3.7,Feature_dummy_25,0.01
3.7,Feature_dummy_26,0.0
4.62,Feature_dummy_1,0.01
4.62,Feature_dummy_2,0.01
4.62,Feature_dummy_3,0.03
4.62,Feature_dummy_4,0.11
4.62,Feature_dummy_5,0.0
4.62,Feature_dummy_6,0.0
4.62,Feature_dummy_7,0.0
4.62,Feature_dummy_8,0.04
4.62,Feature_dummy_9,0.05
4.62,Feature_dummy_10,0.04
4.62,Feature_dummy_11,0.03
4.62,Feature_dummy_12,0.0
4.62,Feature_dummy_13,0.01
4.62,Feature_dummy_14,0.01
4.62,Feature_dummy_15,0.0
4.62,Feature_dummy_16,0.06
4.62,Feature_dummy_17,0.03
4.62,Feature_dummy_18,0.01
4.62,Feature_dummy_19,0.05
4.62,Feature_dummy_20,0.08
4.62,Feature_dummy_21,0.05
4.62,Feature_dummy_22,0.35
4.62,Feature_dummy_23,0.07
4.62,Feature_dummy_24,0.11
4.62,Feature_dummy_25,0.11
