Vestiging,lvl3,lvl4,Jaar-maand,Realisatie,Budget
0.0,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,93000.3,79731.37
0.0,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,88776.5,79731.37
0.0,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,90687.96,79735.94
0.0,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,6831.7,0.0
0.0,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,933.63,2494.84
0.0,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,2986.08,2494.84
0.0,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3181.12,2494.84
0.92,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,35198.33,29938.86
0.92,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,33757.52,29938.86
0.92,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,33972.75,29928.53
0.92,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,925.15,0.0
0.92,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,-1412.36,644.5
0.92,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,2485.92,644.5
0.92,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3857.35,644.5
1.85,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,92265.58,78388.43
1.85,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,88758.84,78388.43
1.85,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,89035.64,78389.43
1.85,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,2382.11,0.0
1.85,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,4066.19,2755.72
1.85,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3830.02,2755.72
1.85,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,4295.13,2760.27
2.77,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,107875.34,101371.32
2.77,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,107181.16,101371.32
2.77,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,103502.2,101374.85
2.77,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,6077.85,0.0
2.77,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,6309.67,3857.6
2.77,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,5071.79,3857.6
2.77,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,4941.57,3862.16
3.7,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,90660.05,77725.78
3.7,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,83732.61,77725.78
3.7,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,86144.23,77715.4
3.7,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,7125.76,12514.07
3.7,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,8913.46,12514.07
3.7,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,9758.53,12522.05
3.7,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,3182.22,2827.49
3.7,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3192.32,2827.49
3.7,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3064.81,2827.49
4.62,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,88334.1,71561.09
4.62,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,88402.51,71561.09
4.62,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,89764.49,71577.04
4.62,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,3800.33,2411.68
4.62,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3993.81,2411.68
4.62,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3327.56,2411.68
5.55,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,56261.34,50071.79
5.55,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,56223.32,50071.79
5.55,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,60427.17,50054.66
